3P,3P%,3PA,3PAr,AST,AST/TOV,Away_Score,BLK,DRB,DRB_Pct_of_TRB,FG,FG%,FG2,FG2%,FG2A,FGA,FT,FT%,FTA,FTr,Game_Date,Game_Result,Game_URL,Home/Away,Home_Score,MP,ORB,ORB_Pct_of_TRB,Opponent,Opponent_1,Opponent_10,Opponent_10_MP,Opponent_11,Opponent_11_MP,Opponent_12,Opponent_12_MP,Opponent_13,Opponent_13_MP,Opponent_14,Opponent_14_MP,Opponent_15,Opponent_15_MP,Opponent_1_MP,Opponent_2,Opponent_2_MP,Opponent_3,Opponent_3_MP,Opponent_4,Opponent_4_MP,Opponent_5,Opponent_5_MP,Opponent_6,Opponent_6_MP,Opponent_7,Opponent_7_MP,Opponent_8,Opponent_8_MP,Opponent_9,Opponent_9_MP,Opponent_Score,PF,PTS,PTS_2P,PTS_2P_Pct,PTS_3P,PTS_3P_Pct,PTS_FT,PTS_FT_Pct,Player,Point_Differential,STL,Season,Stocks,TOV,TRB,Team,Team_Score,Teammate_1,Teammate_10,Teammate_10_MP,Teammate_11,Teammate_11_MP,Teammate_12,Teammate_12_MP,Teammate_13,Teammate_13_MP,Teammate_14,Teammate_14_MP,Teammate_15,Teammate_15_MP,Teammate_1_MP,Teammate_2,Teammate_2_MP,Teammate_3,Teammate_3_MP,Teammate_4,Teammate_4_MP,Teammate_5,Teammate_5_MP,Teammate_6,Teammate_6_MP,Teammate_7,Teammate_7_MP,Teammate_8,Teammate_8_MP,Teammate_9,Teammate_9_MP
1,.500,2,28.571,1,1.00,107,0,2,66.7,2,.286,1.0,20.0,5.0,7,2,1.000,2,28.571,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/201401170BOS.html,Away,104,22:27,1,33.3,BOS,Jeff Green,Kris Humphries,11:13,,,,,,,,,,,35:03,Kelly Olynyk,32:49,Avery Bradley,28:56,Jared Sullinger,28:36,Gerald Wallace,24:45,Phil Pressey,22:14,Rajon Rondo,19:25,Brandon Bass,19:13,Jerryd Bayless,17:46,104,1,7,2.0,28.6,3.0,42.9,2.0,28.6,Manny Harris,3,0,2013-2014,0.0,1,3.0,LAL,107,Kendall Marshall,,,,,,,,,,,,,44:08,Jodie Meeks,42:15,Wesley Johnson,37:51,Pau Gasol,35:31,Ryan Kelly,34:06,Jordan Hill,11:13,Chris Kaman,6:29,Robert Sacre,6:00,,
1,.500,2,25.000,2,2.00,112,0,1,50.0,3,.375,2.0,33.3,6.0,8,0,,0,0.000,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/201401190TOR.html,Away,106,18:19,1,50.0,TOR,DeMar DeRozan,,,,,,,,,,,,,41:32,Kyle Lowry,35:01,Terrence Ross,33:29,Amir Johnson,29:29,Patrick Patterson,29:12,Chuck Hayes,23:14,Greivis Vásquez,20:59,Jonas Valančiūnas,14:05,Julyan Stone,12:59,106,2,7,4.0,57.1,3.0,42.9,0.0,0.0,Manny Harris,6,0,2013-2014,0.0,1,2.0,LAL,112,Jodie Meeks,,,,,,,,,,,,,40:38,Ryan Kelly,37:02,Kendall Marshall,36:43,Pau Gasol,36:14,Nick Young,30:31,Wesley Johnson,23:45,Jordan Hill,10:58,Robert Sacre,5:50,,
1,.333,3,33.333,2,1.00,100,0,6,100.0,2,.222,1.0,16.7,6.0,9,0,,0,0.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/201401200CHI.html,Away,102,21:23,0,0.0,CHI,Jimmy Butler,,,,,,,,,,,,,49:41,Joakim Noah,41:32,D.J. Augustin,37:03,Taj Gibson,32:00,Mike Dunleavy,29:38,Carlos Boozer,28:01,Tony Snell,23:22,Kirk Hinrich,19:16,Nazr Mohammed,4:27,102,2,5,2.0,40.0,3.0,60.0,0.0,0.0,Manny Harris,2,1,2013-2014,1.0,2,6.0,LAL,100,Jodie Meeks,,,,,,,,,,,,,43:34,Nick Young,42:52,Kendall Marshall,39:42,Pau Gasol,36:41,Ryan Kelly,34:33,Jordan Hill,16:19,Robert Sacre,15:33,Wesley Johnson,14:23,,
0,.000,3,42.857,1,1.00,102,0,3,75.0,2,.286,2.0,50.0,4.0,7,3,1.000,3,42.857,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/201401230MIA.html,Away,109,21:16,1,25.0,MIA,LeBron James,Greg Oden,10:26,Roger Mason,6:25,,,,,,,,,37:18,Chris Bosh,33:36,Mario Chalmers,33:26,Ray Allen,28:24,Norris Cole,27:45,Michael Beasley,20:16,Shane Battier,18:49,Chris Andersen,12:53,Rashard Lewis,10:42,109,0,7,4.0,57.1,0.0,0.0,3.0,42.9,Manny Harris,7,0,2013-2014,0.0,1,4.0,LAL,102,Pau Gasol,,,,,,,,,,,,,37:32,Kendall Marshall,35:47,Jodie Meeks,35:39,Nick Young,33:01,Ryan Kelly,25:45,Jordan Hill,22:05,Wesley Johnson,18:27,Robert Sacre,10:28,,
0,.000,1,12.500,2,2.00,105,0,2,66.7,3,.375,3.0,42.9,7.0,8,0,,0,0.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/201401240ORL.html,Away,114,21:10,1,33.3,ORL,Tobias Harris,Andrew Nicholson,3:28,,,,,,,,,,,42:43,Victor Oladipo,38:36,Arron Afflalo,33:29,Jameer Nelson,31:19,Kyle O'Quinn,26:03,Glen Davis,23:46,Maurice Harkless,18:55,Doron Lamb,14:31,E'Twaun Moore,7:10,114,0,6,6.0,100.0,0.0,0.0,0.0,0.0,Manny Harris,9,0,2013-2014,0.0,1,3.0,LAL,105,Kendall Marshall,,,,,,,,,,,,,38:15,Jodie Meeks,36:35,Pau Gasol,34:55,Ryan Kelly,30:02,Nick Young,30:02,Jordan Hill,19:39,Wesley Johnson,18:38,Robert Sacre,10:44,,
2,.667,3,33.333,0,0.00,103,1,0,,6,.667,4.0,66.7,6.0,9,4,1.000,4,44.444,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/201401260NYK.html,Away,110,19:21,0,,NYK,Carmelo Anthony,,,,,,,,,,,,,40:13,J.R. Smith,38:13,Raymond Felton,35:57,Tyson Chandler,30:19,Iman Shumpert,26:36,Tim Hardaway Jr.,25:36,Pablo Prigioni,21:50,Cole Aldrich,12:28,Jeremy Tyler,8:48,110,2,18,8.0,44.4,6.0,33.3,4.0,22.2,Manny Harris,7,2,2013-2014,3.0,1,0.0,LAL,103,Jodie Meeks,,,,,,,,,,,,,43:20,Pau Gasol,38:40,Kendall Marshall,37:36,Nick Young,34:24,Wesley Johnson,23:06,Ryan Kelly,20:52,Jordan Hill,17:07,Robert Sacre,5:34,,
0,.000,2,33.333,2,2.00,104,0,4,80.0,0,.000,0.0,0.0,4.0,6,0,,0,0.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/201401280LAL.html,Home,92,17:30,1,20.0,IND,Lance Stephenson,Rasual Butler,0:43,Orlando Johnson,0:43,,,,,,,,,37:30,Paul George,34:27,Roy Hibbert,29:55,David West,29:04,George Hill,28:58,Danny Granger,22:37,C.J. Watson,19:02,Luis Scola,18:56,Ian Mahinmi,18:05,104,1,0,0.0,,0.0,,0.0,,Manny Harris,12,0,2013-2014,0.0,1,5.0,LAL,92,Kendall Marshall,,,,,,,,,,,,,39:19,Pau Gasol,35:48,Jodie Meeks,32:40,Wesley Johnson,30:30,Jordan Hill,28:47,Nick Young,24:01,Ryan Kelly,19:13,Robert Sacre,12:12,,
0,.000,1,20.000,0,,110,0,3,100.0,2,.400,2.0,50.0,4.0,5,0,.000,1,20.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/201401310LAL.html,Home,100,17:47,0,0.0,CHA,Al Jefferson,Bismack Biyombo,9:16,,,,,,,,,,,38:44,Gerald Henderson,37:03,Josh McRoberts,36:04,Ramon Sessions,34:17,Michael Kidd-Gilchrist,26:43,Anthony Tolliver,21:17,Jannero Pargo,13:43,Cody Zeller,11:56,Chris Douglas-Roberts,10:57,110,1,4,4.0,100.0,0.0,0.0,0.0,0.0,Manny Harris,10,0,2013-2014,0.0,0,3.0,LAL,100,Jodie Meeks,,,,,,,,,,,,,37:10,Nick Young,35:50,Kendall Marshall,35:26,Ryan Kelly,33:21,Pau Gasol,33:10,Wesley Johnson,20:08,Robert Sacre,14:49,Jordan Hill,12:19,,
2,.667,3,27.273,1,1.00,99,0,6,75.0,8,.727,6.0,75.0,8.0,11,1,.500,2,18.182,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/201402040MIN.html,Away,109,20:30,2,25.0,MIN,Kevin Martin,Chase Budinger,7:18,A.J. Price,0:04,,,,,,,,,41:07,Kevin Love,40:38,Ricky Rubio,31:01,Corey Brewer,30:40,Dante Cunningham,24:23,Ronny Turiaf,21:49,Luc Mbah a Moute,17:53,J.J. Barea,16:59,Gorgui Dieng,8:08,109,1,19,12.0,63.2,6.0,31.6,1.0,5.3,Manny Harris,10,1,2013-2014,1.0,1,8.0,LAL,99,Wesley Johnson,Jodie Meeks,1:26,,,,,,,,,,,38:02,Steve Blake,32:11,Robert Sacre,30:54,Nick Young,29:46,Steve Nash,24:37,Ryan Kelly,20:58,Kendall Marshall,20:52,Chris Kaman,17:06,Jordan Hill,3:38
0,.000,1,50.000,0,,96,0,0,,0,.000,0.0,0.0,1.0,2,0,,0,0.000,Logos via Sports Logos.net / About logos,W,https://www.basketball-reference.com/boxscores/201703100DAL.html,Home,105,1:31,0,,BRK,Trevor Booker,Justin Hamilton,14:59,Andrew Nicholson,12:33,K.J. McDaniels,1:44,,,,,,,26:58,Jeremy Lin,26:50,Isaiah Whitehead,25:27,Sean Kilpatrick,23:31,Quincy Acy,23:04,Randy Foye,23:01,Caris LeVert,21:51,Spencer Dinwiddie,21:36,Rondae Hollis-Jefferson,18:27,96,0,0,0.0,,0.0,,0.0,,Manny Harris,9,0,2016-2017,0.0,0,0.0,DAL,105,Harrison Barnes,J.J. Barea,13:59,Jarrod Uthoff,1:31,,,,,,,,,37:22,Yogi Ferrell,34:01,Wesley Matthews,33:08,Seth Curry,31:33,Dirk Nowitzki,22:43,Dwight Powell,20:16,Devin Harris,14:57,Dorian Finney-Smith,14:53,Salah Mejri,14:09
0,,0,0.000,0,,78,0,1,50.0,0,.000,0.0,0.0,1.0,1,1,.500,2,200.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/201703130TOR.html,Away,100,3:09,1,50.0,TOR,DeMar DeRozan,Jakob Poeltl,12:22,Lucas Nogueira,3:37,Pascal Siakam,3:09,,,,,,,32:29,Serge Ibaka,32:05,Norman Powell,31:10,Cory Joseph,25:51,Jonas Valančiūnas,22:50,Fred VanVleet,22:09,Patrick Patterson,20:34,Delon Wright,20:18,P.J. Tucker,13:26,100,0,1,0.0,0.0,0.0,0.0,1.0,100.0,Manny Harris,22,0,2016-2017,0.0,0,2.0,DAL,78,Harrison Barnes,Nicolás Brussino,12:04,Salah Mejri,6:53,Jarrod Uthoff,3:09,,,,,,,35:51,Seth Curry,31:30,Yogi Ferrell,30:53,Dirk Nowitzki,28:52,Dwight Powell,21:12,Dorian Finney-Smith,18:17,Wesley Matthews,17:42,J.J. Barea,17:07,Devin Harris,13:21
0,.000,1,11.111,2,2.00,74,0,5,83.3,2,.222,2.0,25.0,8.0,9,1,.500,2,22.222,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/201703170PHI.html,Away,116,15:57,1,16.7,PHI,Timothé Luwawu-Cabarrot,Shawn Long,9:13,Gerald Henderson,7:09,,,,,,,,,29:44,Nik Stauskas,26:23,Sergio Rodríguez,26:18,Robert Covington,26:05,Dario Šarić,26:04,Justin Anderson,25:57,T.J. McConnell,21:42,Jahlil Okafor,21:28,Richaun Holmes,19:57,116,1,5,4.0,80.0,0.0,0.0,1.0,20.0,Manny Harris,42,0,2016-2017,0.0,1,6.0,DAL,74,Harrison Barnes,J.J. Barea,16:56,Devin Harris,14:57,Salah Mejri,12:26,,,,,,,24:28,Wesley Matthews,24:19,Yogi Ferrell,22:59,Dirk Nowitzki,18:54,Nerlens Noel,18:35,Dorian Finney-Smith,17:58,Dwight Powell,17:43,Nicolás Brussino,17:43,Seth Curry,17:06
0,,0,0.000,0,0.00,112,0,0,0.0,1,.333,1.0,33.3,3.0,3,0,,0,0.000,Logos via Sports Logos.net / About logos,L,https://www.basketball-reference.com/boxscores/201703210DAL.html,Home,87,4:08,1,100.0,GSW,Klay Thompson,JaVale McGee,9:17,James Michael McAdoo,5:27,Kevon Looney,4:08,,,,,,,32:09,Patrick McCaw,29:52,Stephen Curry,29:45,Ian Clark,28:47,Draymond Green,28:23,Matt Barnes,23:00,Shaun Livingston,19:42,David West,15:01,Zaza Pachulia,14:29,112,0,2,2.0,100.0,0.0,0.0,0.0,0.0,Manny Harris,25,0,2016-2017,0.0,1,1.0,DAL,87,Harrison Barnes,Salah Mejri,8:28,Dwight Powell,8:13,Nicolás Brussino,5:27,,,,,,,33:57,Wesley Matthews,32:35,Dirk Nowitzki,27:53,Seth Curry,27:26,Yogi Ferrell,26:37,J.J. Barea,17:15,Nerlens Noel,17:13,Dorian Finney-Smith,15:41,Devin Harris,15:07
